pdbId	chainId	id	COUNT(SCM.id)	maxRmsd
1auq	A	162	18	2.391
1aus	S	163	48	0.876
1auv	B	164	4	0.863
1av1	A	165	4	4.946
1ava	A	166	4	0.511
1avb	A	167	2	0.108
1avf	Q	168	2	0.205
1avo	A	169	7	0.201
1avo	B	170	7	0.127
1avs	B	171	2	0.886
1avy	A	172	3	0.563
1aw1	A	173	16	1.020
1aw8	B	174	2	0.248
1axk	B	175	2	1.758
1axn	A	176	2	0.548
1axt	H	177	3	1.254
1ay1	H	178	2	1.541
1ay2	A	179	3	0.467
1ay9	A	180	4	0.376
1aym	2	181	9	0.198
1ayn	3	182	9	0.227
1ayo	A	183	2	0.671
1ayx	A	184	3	0.581
1ayy	D	185	12	2.302
1ayz	A	186	4	0.691
1azw	A	187	2	0.112
1azz	A	188	2	0.254
1b02	A	189	11	1.347
1b04	B	190	2	1.430
1b06	A	191	6	0.068
1b07	A	192	8	0.726
1b0a	A	193	13	1.360
1b0n	A	194	3	0.681
1b0w	A	195	12	0.798
1b13	A	196	27	1.053
1b1y	A	197	10	0.914
1b25	A	198	8	0.214
1b26	A	199	18	0.579
1b2p	A	200	2	0.237
1b2s	A	201	120	17.305
1b30	A	202	8	0.154
1b33	A	203	6	0.566
1b33	B	204	6	0.442
1b33	N	205	2	0.988
1b3q	B	206	2	4.418
1b3t	A	207	26	5.655
1b3u	A	208	36	9.851
1b43	A	209	2	0.964
1b44	E	210	5	1.142
1b48	A	211	4	0.645
1b4a	A	212	6	3.627
1b4b	A	213	3	0.065
1b4f	B	214	9	5.661
1b4u	A	215	4	0.255
1b54	A	216	2	0.266
1b5f	A	217	2	0.479
1b5f	B	218	2	0.318
1b5o	A	219	30	1.378
1b5s	A	220	5	0.004
1b65	A	221	6	0.104
1b66	A	222	6	0.298
1b67	A	223	3	0.809
1b6b	A	224	3	2.796
1b6p	A	225	14	0.697
1b6v	A	226	2	0.288
1b6w	A	227	8	1.092
1b71	A	228	10	0.396
1b74	A	229	2	0.348
1b77	A	230	6	0.730
1b79	B	231	4	0.216
1b7a	A	232	3	0.467
1b7d	A	233	2	0.683
1b7g	O	234	2	0.239
1b7h	A	235	33	3.159
1b7v	A	236	2	0.083
1b82	A	237	9	0.703
1b87	A	238	8	1.694
1b88	A	239	2	0.668
1b8d	A	240	2	0.125
1b8d	B	241	2	0.137
1b8g	B	242	6	0.915
1b8m	A	243	2	1.037
1b8u	A	244	3	0.336
1b90	A	245	32	1.019
1b9b	B	246	2	0.557
1b9h	A	247	2	0.212
1b9l	A	248	8	0.512
1b9m	A	249	8	6.197
1b9v	A	250	7	0.366
1b9x	C	251	2	1.294
1bab	A	252	558	4.392
1baf	L	253	14	3.957
1bag	A	254	2	0.286
1bai	A	255	2	0.680
1bar	B	256	10	0.667
1bbd	H	257	2	3.000
1bbh	A	258	10	17.424
1bbj	H	259	2	0.001
1bbp	A	260	4	0.376
1bbr	H	261	4	1.308
1bbr	K	262	34	2.208
1bbu	A	263	2	1.364
1bc1	A	264	19	1.472
1bc8	C	265	3	1.236
1bcg	A	266	5	1.260
1bcm	A	267	3	0.752
1bcs	B	268	5	0.364
1bd7	A	269	2	0.517
1bd8	A	270	3	0.564
1bda	A	271	7	1.272
1bdf	B	272	66	3.486
1bdr	A	273	6	0.617
1bdt	B	274	18	1.943
1bdy	A	275	2	1.214
1be4	A	276	9	0.548
1bea	A	277	2	0.212
1bey	L	278	2	0.873
1bf6	A	279	10	0.477
1bfo	A	280	4	1.250
1bfo	B	281	4	1.426
1bfr	A	282	242	1.834
1bft	A	283	2	0.416
1bg3	A	284	2	0.305
1bge	A	285	3	0.613
1bgx	T	286	3	32.714
1bgy	C	287	32	2.011
1bgy	G	288	31	2.494
1bgy	J	289	35	11.358
1bh8	A	290	2	0.429
1bh9	B	291	2	0.418
1bhd	A	292	2	0.742
1bhg	A	293	6	1.142
1bht	A	294	45	2.054
1bhx	F	295	5	0.526
1bhy	A	296	2	0.172
1bif	A	297	4	0.737
1bih	A	298	2	1.057
1bin	A	299	4	0.788
1bis	B	300	7	2.178
1biy	A	301	3	1.368
1bj3	A	302	6	0.945
1bja	A	303	2	0.971
1bjf	A	304	2	0.177
1bjj	A	305	14	0.766
1bjo	A	306	4	0.285
1bk9	A	307	4	0.238
1bkh	B	308	11	0.345
1bkl	A	309	68	1.883
1blb	C	310	5	1.791
1bli	A	311	3	1.578
1bln	A	312	2	0.890
1bln	B	313	2	0.931
1blx	A	314	18	8.054
1bm9	A	315	17	3.131
1bml	A	316	26	2.499
1bml	C	317	2	0.562
1bmo	A	318	5	4.651
1bmt	A	319	2	0.851
1bmv	2	320	3	0.407
1bnl	A	321	4	0.001
1bnz	A	322	3	1.081
1bo1	A	323	28	2.814
1bo7	A	324	51	1.092
1bos	A	325	100	0.955
1bou	B	326	4	0.288
1bow	A	327	2	1.870
1boy	A	328	42	2.950
1bp1	A	329	2	1.166
1bp3	A	330	6	2.551
1bp5	C	331	32	6.909
1bpo	B	332	3	1.609
1bqc	A	333	3	0.294
1bqh	H	334	10	2.091
1bqm	B	335	353	13.691
1bqq	M	336	5	1.663
1bqq	T	337	3	1.618
1bqs	A	338	9	4.472
1bqu	B	339	4	1.535
1bqy	A	340	2	0.200
1br1	A	341	16	6.088
1br4	B	342	8	1.093
1brw	A	343	2	2.415
1bry	Y	344	2	0.296
1bs4	A	345	49	1.033
1bsq	A	346	101	2.349
1bt3	A	347	7	0.401
1bti	A	348	2	0.434
1btk	B	349	14	2.280
1btm	A	350	4	0.460
1bu1	A	351	6	0.633
1bu6	Y	352	31	2.213
1buc	A	353	2	0.310
1bud	A	354	2	0.193
1bul	A	355	2	0.178
1buo	A	356	2	0.479
1bvb	A	357	3	0.880
1bvk	A	358	4	0.612
1bvk	B	359	4	0.760
1bvs	A	360	8	1.258
1bvu	A	361	6	0.647
1bw0	B	362	2	0.263
1bw9	A	363	8	1.046
1bwd	A	364	2	0.199
1bwo	A	365	2	0.310
1bwp	A	366	9	0.764
1bwu	Q	367	4	0.663
1bwv	S	368	12	0.275
1bx0	A	369	7	0.315
1bx2	B	370	9	2.245
1bx7	A	371	2	0.264
1bxb	A	372	4	0.032
1bxc	A	373	4	0.025
1bxk	B	374	2	0.458
1bxm	A	375	3	1.053
1bxn	A	376	4	0.014
1bxn	I	377	4	0.012
1bxr	A	378	40	1.215
1bxt	B	379	2	0.157
1bxv	A	380	2	0.076
1bxw	A	381	2	0.859
1bxy	A	382	2	0.967
1bye	A	383	6	1.392
1byf	A	384	4	0.292
1byh	A	385	9	1.140
1byl	A	386	5	0.755
1byp	A	387	3	0.479
1byr	A	388	2	0.119
1bzl	A	389	11	0.642
1bzm	A	390	58	0.551
1bzo	A	391	11	0.757
1bzq	K	392	17	2.219
1bzs	A	393	30	1.560
1bzy	A	394	71	4.858
1c04	B	395	2	2.286
1c04	C	396	3	0.001
1c04	D	397	2	1.068
1c0i	A	398	4	0.354
1c0m	C	399	8	14.443
1c0w	B	400	29	17.754
1c1f	A	401	2	0.164
1c1z	A	402	2	0.587
1c26	A	403	2	1.818
1c2y	A	404	20	0.027
1c3a	A	405	4	0.610
1c3c	A	406	4	0.378
1c3g	A	407	4	1.489
1c3h	A	408	9	3.578
1c3m	A	409	3	0.606
1c3r	A	410	4	0.425
1c40	A	411	9	0.901
1c40	B	412	23	0.732
1c41	A	413	10	0.206
1c44	A	414	2	4.089
1c52	A	415	7	1.381
1c5c	H	416	2	0.688
1c5d	B	417	2	1.005
1c5d	L	418	2	0.735
1c5e	A	419	9	0.382
1c5f	A	420	10	0.551
1c5h	A	421	44	2.982
1c5m	D	422	146	2.292
1c6o	A	423	3	0.422
1c6v	A	424	4	1.775
1c6y	A	425	6	0.687
1c77	A	426	8	4.148
1c7d	A	427	9	1.646
1c7g	A	428	4	0.173
1c7j	A	429	3	0.929
1c7n	A	430	16	0.381
1c7q	A	431	4	0.413
1c7s	A	432	4	0.385
1c7y	A	433	7	2.053
1c7z	A	434	9	0.552
1c8b	A	435	2	0.134
1c8n	C	436	3	0.682
1c8o	A	437	2	0.752
1c8o	B	438	2	0.372
1c8u	A	439	2	0.468
1c9t	G	440	8	7.425
1ca1	A	441	12	3.167
1ca9	A	442	13	2.148
1cau	A	443	10	1.834
1cax	B	444	6	1.151
1cb5	A	445	5	0.480
1cbj	A	446	52	0.938
1cbk	A	447	2	0.385
1cbu	A	448	6	3.154
1cbv	H	449	2	1.972
1cc3	A	450	2	0.588
1cc8	A	451	26	1.534
1ccw	B	452	10	0.222
1cd3	4	453	10	11.106
1cd3	B	454	2	2.147
1cd3	G	455	3	0.379
1cd9	A	456	15	3.269
1cdc	B	457	10	7.326
1cdo	A	458	2	0.959
1cdt	A	459	2	0.362
1ce0	B	460	3	0.648
1ce1	H	461	2	1.035
1ceg	A	462	15	0.275
1cen	A	463	3	0.246
1cer	O	464	16	0.424
1cev	A	465	30	0.953
1cf1	C	466	16	4.133
1cf2	P	467	4	0.280
1cf5	A	468	2	0.937
1cf8	H	469	3	0.651
1cft	B	470	8	0.933
1cfv	L	471	3	0.374
1cfz	A	472	6	0.082
1cg2	A	473	4	0.270
1cg5	A	474	2	0.845
1cg8	B	475	2	0.724
1cgj	E	476	47	2.162
1cgl	A	477	14	2.657
1ch4	A	478	4	0.401
1chk	A	479	2	0.800
1chm	A	480	2	0.392
1ci0	A	481	2	0.056
1ci4	A	482	9	0.577
1ci9	A	483	4	0.318
1cij	A	484	18	0.411
1ciq	B	485	2	0.161
1cit	A	486	9	0.573
1ciw	A	487	108	1.026
1cja	A	488	2	0.219
1cjk	B	489	18	2.615
1cjx	A	490	4	0.201
1cjy	A	491	2	0.888
1ck0	H	492	3	0.524
1ckj	A	493	98	2.591
1ckm	A	494	5	3.585
1cks	B	495	16	15.190
1cle	A	496	4	0.294
1cli	A	497	4	1.024
1clo	L	498	5	1.312
1clp	A	499	54	1.279
1clv	A	500	4	0.910
1cly	H	501	2	0.799
1cm0	A	502	2	0.638
1cm5	A	503	12	0.422
1cm7	A	504	2	0.782
1cm9	A	505	2	0.578
1cma	A	506	30	2.770
1cno	G	507	8	0.430
1cns	A	508	3	0.765
1cnt	1	509	4	2.792
1cnu	A	510	2	0.870
1cnz	A	511	2	1.540
1co7	E	512	40	1.862
1cof	A	513	8	0.813
1col	A	514	2	0.685
1coy	A	515	2	0.235
1cp2	A	516	2	0.742
1cpc	A	517	2	0.177
1cpc	B	518	2	0.279
1cpj	A	519	6	0.456
1cq3	A	520	2	0.261
1cqd	A	521	4	0.013
1cqk	A	522	2	0.109
1cqt	J	523	2	1.196
1cr5	A	524	3	0.733
1cr9	H	525	2	1.039
1cr9	L	526	2	0.748
1crk	A	527	4	1.695
1cry	A	528	3	0.545
1cs1	A	529	4	0.283
1cs8	A	530	2	1.245
1csb	A	531	5	0.926
1csk	A	532	4	0.350
1csn	A	533	4	1.208
1csq	A	534	11	1.605
1ct8	A	535	2	0.834
1ct8	B	536	2	1.086
1ct9	A	537	4	0.458
1cun	A	538	3	0.896
1cuo	A	539	2	1.115
1cvj	A	540	8	0.747
1cvr	A	541	5	1.053
1cwp	B	542	3	0.769
1cwq	A	543	169	2.422
1cws	A	544	3	0.295
1cwy	A	545	8	0.884
1cx4	A	546	2	0.835
1cxv	A	547	2	0.126
1cy8	A	548	12	2.540
1cyd	A	549	4	0.158
1cyj	A	550	2	0.892
1cyo	A	551	5	0.797
1cyw	A	552	2	0.888
1cyy	B	553	4	6.649
1cz3	B	554	4	0.659
1cz7	D	555	13	15.722
1czf	A	556	2	0.279
1czj	A	557	2	0.590
1czs	A	558	4	0.873
1d02	B	559	2	0.671
1d03	A	560	10	0.415
1d06	A	561	2	0.211
1d0a	A	562	35	0.696
1d0i	H	563	84	2.089
1d0l	A	564	8	0.626
1d0n	A	565	4	0.747
1d0q	A	566	2	0.710
1d1j	A	567	4	0.736
1d1m	B	568	4	1.269
1d1q	A	569	6	0.491
1d2e	A	570	5	4.555
1d2f	B	571	2	0.135
1d2g	A	572	50	7.365
1d2i	A	573	5	4.648
1d2m	A	574	2	0.325
1d2o	A	575	2	0.679
1d2t	A	576	10	1.268
1d2z	C	577	4	15.372
1d2z	D	578	2	1.029
1d3b	E	579	6	0.410
1d3b	L	580	10	1.954
1d3u	B	581	2	1.809
1d3y	B	582	2	0.367
1d4c	A	583	6	2.140
1d4t	A	584	8	1.174
1d4v	A	585	21	2.972
1d4v	B	586	18	3.802
1d5f	A	587	6	1.071
1d5i	H	588	6	5.140
1d5i	L	589	6	3.364
1d5y	A	590	4	1.137
1d66	A	591	2	0.820
1d6a	A	592	12	0.554
1d6s	A	593	12	1.805
1d7c	A	594	8	0.346
1d7m	A	595	2	1.552
1d7p	M	596	8	0.679
1d7x	B	597	58	3.028
1d8c	A	598	3	0.640
1d8h	A	599	8	11.251
1d8l	A	600	2	0.445
1d8u	A	601	6	2.295
1d9c	A	602	6	4.322
1d9k	A	603	2	0.542
1d9k	B	604	2	0.524
1d9k	D	605	4	0.927
1d9q	B	606	12	1.398
1d9u	A	607	7	2.663
1dag	A	608	13	0.934
1daj	A	609	25	1.512
1dba	H	610	6	0.690
1dbf	A	611	65	5.363
1dbn	A	612	2	0.024
1dbo	A	613	4	0.271
1dbt	A	614	3	0.462
1dbu	A	615	3	0.385
1dc1	B	616	2	0.207
1dcd	A	617	8	0.334
1dce	A	618	3	1.300
1dci	A	619	3	0.689
1dck	B	620	9	1.813
1dd1	B	621	14	3.186
1dd3	C	622	20	1.771
1dd4	A	623	4	0.535
1dd4	D	624	2	0.586
1ddg	A	625	3	0.883
1ddl	A	626	3	1.488
1ddt	A	627	18	16.742
1ddu	A	628	116	1.690
1ddw	A	629	2	0.627
1ddz	A	630	2	0.032
1de4	A	631	5	1.604
1de5	A	632	12	1.036
1deb	A	633	2	2.223
1dee	B	634	5	1.559
1deh	A	635	18	0.632
1del	A	636	4	1.108
1deq	A	637	4	6.084
1deq	B	638	4	4.019
1deq	C	639	4	4.367
1deu	A	640	2	1.138
1dev	B	641	3	0.805
1dex	A	642	6	0.472
1df0	B	643	12	2.440
1dfj	I	644	2	1.515
1dfk	Y	645	4	0.909
1dfn	A	646	2	0.854
1dg9	A	647	9	0.541
1dgr	V	648	4	0.346
1dgr	Y	649	4	0.515
1dgs	A	650	2	1.077
1dh3	A	651	5	1.067
1di1	A	652	4	0.356
1di2	A	653	2	0.947
1di7	A	654	2	0.541
1dii	A	655	7	0.597
1dir	A	656	6	0.481
1dj2	A	657	2	0.333
1dj3	A	658	2	0.009
1dj8	A	659	9	1.459
1djp	A	660	10	0.541
1djx	B	661	20	2.380
1dk4	A	662	6	0.704
1dk5	A	663	2	0.803
1dkd	A	664	7	1.290
1dkg	A	665	2	5.427
1dkm	A	666	8	0.998
1dkr	B	667	6	1.082
1dks	A	668	9	1.675
1dl2	A	669	2	0.349
1dl5	A	670	2	0.584
1dle	A	671	2	0.342
1dlj	A	672	2	0.187
1dlp	C	673	6	1.618
1dlq	A	674	8	0.453
1dm5	A	675	12	0.598
1dm9	B	676	2	1.242
1dml	B	677	4	0.474
1dml	E	678	4	1.790
1dn0	D	679	4	0.954
1dnp	A	680	2	0.110
1do5	A	681	10	0.967
1do6	A	682	10	1.542
1doa	B	683	8	3.201
1dof	A	684	4	0.190
1dok	A	685	11	2.616
1dos	A	686	28	3.238
1dpe	A	687	5	6.528
1dqd	L	688	10	2.235
1dqo	A	689	4	0.352
1dqp	A	690	4	0.532
1dqt	A	691	9	1.651
1dqx	A	692	24	2.232
1dr1	A	693	8	0.274
1dr9	A	694	3	0.887
1drm	A	695	30	1.201
1drw	A	696	8	4.260
1ds1	A	697	5	0.344
1ds6	A	698	8	1.182
1dsl	A	699	3	0.741
1dsx	A	700	16	0.538
1dt0	A	701	3	0.089
1dt9	A	702	6	6.596
1dth	A	703	6	0.386
1dtj	A	704	4	0.822
1dtz	A	705	2	0.498
1du5	A	706	2	0.408
1dua	A	707	5	0.516
1dub	A	708	24	0.630
1dug	A	709	33	1.893
1dun	A	710	2	0.283
1duv	G	711	15	1.224
1dux	C	712	2	0.373
1dv2	A	713	57	6.676
1dva	L	714	6	11.738
1dvj	A	715	241	1.545
1dvk	B	716	2	0.616
1dvr	A	717	5	4.066
1dw1	A	718	12	0.817
1dwn	A	719	3	0.837
1dwu	A	720	2	0.482
1dx5	I	721	7	4.228
1dxe	A	722	4	0.454
1dxi	A	723	2	0.522
1dxl	A	724	4	1.024
1dxq	A	725	4	0.034
1dxt	B	726	567	1.843
1dxx	A	727	4	0.011
1dy1	A	728	3	1.014
1dy6	A	729	2	0.153
1dyn	A	730	4	1.364
1dys	A	731	2	0.396
1dyz	A	732	3	0.775
1dzb	A	733	2	0.330
1dzr	A	734	4	1.327
1e03	L	735	51	20.078
1e06	A	736	17	0.733
1e0b	A	737	2	0.366
1e0f	I	738	3	2.908
1e0k	A	739	16	4.164
1e0s	A	740	19	9.309
1e0x	A	741	10	0.715
1e19	A	742	2	0.455
1e1d	A	743	6	0.429
1e1e	B	744	18	0.507
1e1h	A	745	2	0.163
1e1h	D	746	2	0.177
1e20	A	747	3	2.126
1e24	A	748	10	1.133
1e2t	A	749	8	0.331
1e2y	G	750	10	2.505
1e2z	A	751	14	1.277
1e3a	A	752	3	1.148
1e3a	B	753	24	0.807
1e3b	A	754	5	0.423
1e3d	A	755	2	0.217
1e3d	B	756	2	0.240
1e3e	A	757	6	0.809
1e3p	A	758	2	0.969
1e3w	D	759	12	0.633
1e43	A	760	4	0.458
1e44	B	761	2	0.371
1e4e	A	762	2	0.414
1e4v	A	763	33	7.267
1e4x	I	764	3	1.142
1e4x	L	765	3	1.339
1e58	A	766	2	0.432
1e5d	A	767	2	0.164
1e5e	A	768	4	0.384
1e5p	A	769	4	0.825
1e5q	A	770	11	2.469
1e5r	B	771	4	0.892
1e5x	A	772	10	1.974
1e69	A	773	6	0.573
1e6c	A	774	6	3.406
1e6e	A	775	7	1.210
1e6e	B	776	6	1.027
1e6h	A	777	5	2.046
1e6o	H	778	2	1.263
1e6v	A	779	2	0.001
1e6v	B	780	2	0.001
1e6v	C	781	2	0.001
1e6y	A	782	2	0.094
1e6y	C	783	2	0.154
1e6y	E	784	2	0.145
1e79	H	785	10	1.385
1e7m	A	786	10	1.088
1e7n	A	787	2	0.564
1e7p	B	788	12	0.562
1e7p	C	789	12	1.016
1e7u	A	790	100	1.704
1e7z	A	791	4	0.763
1e8c	B	792	2	0.430
1e8d	A	793	30	0.506
1e8u	B	794	11	1.276
1e9s	A	795	36	0.815
1e9x	A	796	13	1.842
1e9y	B	797	2	1.028
1e9z	A	798	2	0.327
1ea0	A	799	2	0.256
1ea8	A	800	5	0.366
1ea9	C	801	2	1.071
1eaa	A	802	9	0.239
1eah	4	803	12	2.061
1eai	C	804	2	0.369
1eak	A	805	4	1.748
1eaq	B	806	22	3.048
1eay	D	807	2	0.634
1eb0	A	808	4	2.271
1ebd	A	809	2	0.610
1ebf	A	810	10	1.404
1ebo	F	811	6	2.321
1ec6	A	812	2	0.930
1ec9	D	813	30	0.528
1eca	A	814	4	0.087
1ece	A	815	4	0.260
1ecg	B	816	20	3.834
1ecm	B	817	2	0.437
1ecs	A	818	10	0.652
1ecw	A	819	2	0.355
1ecx	B	820	4	0.304
1ecz	A	821	29	9.816
1edm	B	822	2	0.415
1edt	A	823	9	0.586
1edy	A	824	2	0.817
1ee8	A	825	2	0.885
1ee9	A	826	2	0.330
1eep	A	827	2	0.365
1eer	A	828	2	1.534
1ef1	C	829	2	0.051
1ef7	A	830	2	0.442
1ef9	A	831	40	0.539
1efp	A	832	2	0.535
1efp	B	833	2	0.447
1eft	A	834	26	12.220
1efu	B	835	13	18.050
1efv	B	836	4	3.260
1efx	A	837	17	2.113
1efx	D	838	7	2.684
1eg1	A	839	2	0.001
1eg4	A	840	2	0.378
1ega	B	841	4	1.103
1egg	B	842	4	2.901
1egz	A	843	3	0.308
1eh6	A	844	3	0.297
1eh9	A	845	8	0.616
1ehh	A	846	8	1.054
1ehi	A	847	2	1.308
1ehl	H	848	2	0.757
1ehw	A	849	2	0.439
1ehy	A	850	4	0.568
1ei1	A	851	16	3.167
1ei3	C	852	4	4.704
1ei6	A	853	4	1.090
1ei7	A	854	2	3.111
1ei9	A	855	3	0.399
1eia	A	856	3	7.728
1eir	A	857	10	0.288
1eix	C	858	22	1.363
1eiy	A	859	9	1.108
1ej0	A	860	2	0.228
1ej6	C	861	2	3.756
1ej6	D	862	2	1.072
1ejb	A	863	5	5.729
1ejf	A	864	2	0.193
1eji	A	865	4	1.200
1ek2	B	866	8	0.846
1ek3	A	867	2	0.669
1ek8	A	868	2	9.069
1eke	B	869	2	1.162
1ekj	G	870	8	2.382
1eku	B	871	4	1.719
1ekv	A	872	57	1.389
1el6	A	873	3	0.442
1elk	A	874	2	0.303
1elp	A	875	2	0.486
1elr	A	876	4	1.028
1elw	A	877	2	0.661
1em2	A	878	2	0.383
1em8	A	879	3	0.418
1em8	D	880	2	0.943
1em9	A	881	2	0.426
1ems	A	882	2	0.906
1eno	A	883	5	2.168
1eo5	A	884	25	0.610
1eod	A	885	5	0.466
1eom	A	886	2	0.178
1eoo	A	887	63	2.091
1ep0	A	888	2	0.187
1ep2	B	889	3	0.799
1ep3	A	890	3	1.168
1ep6	A	891	6	2.066
1epb	B	892	4	1.302
1epf	B	893	4	1.163
1epu	A	894	4	3.766
1eq2	D	895	10	1.692
1eq6	A	896	2	0.379
1eq7	A	897	3	1.946
1eq9	A	898	2	0.062
1eqb	B	899	9	1.392
1eqf	A	900	4	16.133
1eqq	B	901	8	2.950
1eqr	A	902	6	2.844
1erj	C	903	3	0.706
1erk	A	904	189	4.939
1es7	D	905	2	0.142
1esd	A	906	3	0.187
1esg	B	907	9	6.681
1esj	A	908	13	3.196
1esm	A	909	12	3.428
1esp	A	910	2	0.380
1et1	A	911	2	0.054
1eth	A	912	2	0.019
1eth	B	913	5	1.943
1etz	H	914	2	0.817
1eu3	A	915	4	0.994
1eu4	A	916	2	0.438
1euc	A	917	9	0.590
1euc	B	918	8	2.813
1eur	A	919	3	1.041
1euu	A	920	11	2.715
1euv	A	921	4	0.850
1euz	F	922	6	1.698
1ev2	A	923	10	1.317
1ev4	A	924	6	1.847
1eve	A	925	138	0.968
1ew4	A	926	3	0.799
1ewq	A	927	6	1.864
1ewr	B	928	2	0.000
1ewt	A	929	11	4.488
1ex4	A	930	2	4.773
1exc	A	931	6	1.010
1ext	A	932	6	4.521
1exz	B	933	6	2.587
1ey2	A	934	2	0.538
1eyg	A	935	8	1.000
1eyv	B	936	2	1.001
1eyx	A	937	2	0.248
1eyx	B	938	2	0.231
1ez0	A	939	8	0.258
1ez1	A	940	14	0.908
1ez3	A	941	3	1.193
1ez4	B	942	4	0.249
1ezg	A	943	2	0.364
1ezk	A	944	7	0.601
1ezr	A	945	4	0.054
1f00	I	946	2	0.670
1f05	A	947	2	0.517
1f06	A	948	11	4.475
1f07	A	949	4	0.509
1f08	A	950	13	1.817
1f0k	A	951	4	1.705
1f0n	A	952	2	0.225
